step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
174,4,30,53.892,49.192,53.892,49.192,4.7,-0.8247,Charge,5.5247,5.5247,25.8104,25.74,32.424,33.2487,optimal
175,4,31,51.078,46.76,51.078,46.76,4.318,-1.2307,Charge,5.5487,5.5487,25.8003,25.78,26.744,27.9747,optimal
176,4,32,54.178,42.304,54.178,42.304,11.874,6.3183,Discharge,5.5557,5.5557,25.4703,25.8,81.668,75.3497,optimal
177,4,33,53.766,41.386,53.766,41.386,12.38,6.9403,Discharge,5.4397,5.4397,25.4598,25.5,117.148,110.2077,optimal
178,4,34,56.864,38.964,56.864,38.964,17.9,12.4747,Discharge,5.4253,5.4253,24.8885,25.13,196.69,184.2153,optimal
179,4,35,64.162,29.814,64.162,29.814,34.348,29.0106,Discharge,5.3374,5.3374,23.7079,24.46,424.474,395.4634,optimal
180,4,36,68.954,21.416,68.954,21.416,47.538,42.4796,Discharge,5.0584,5.0584,22.3777,22.98,651.41,608.9304,optimal
181,4,37,70.538,15.888,70.538,15.888,54.65,49.7856,Discharge,4.8644,4.8644,20.5395,20.88,739.912,690.1264,optimal
182,4,38,69.53,11.322,69.53,11.322,58.208,53.4539,Discharge,4.7541,4.7541,18.2597,18.41,789.97,736.5161,optimal
183,4,39,73.532,5.328,73.532,5.328,68.204,63.3724,Discharge,4.8316,4.8316,15.3035,15.77,866.69,803.3176,optimal
184,4,40,73.316,0.832,73.316,0.832,72.484,67.4168,Discharge,5.0672,5.0672,12.4653,12.66,919.816,852.3992,optimal
185,4,41,76.562,0.014,76.562,0.014,76.548,49.065,Discharge,27.483,27.483,10.2549,9.46,988.748,939.683,optimal
186,4,42,76.604,0.024,76.604,0.024,76.58,47.9636,Discharge,28.6164,28.6164,7.1088,7.06,984.498,936.5344,optimal
187,4,43,74.404,0.012,74.404,0.012,74.392,44.5168,Discharge,29.8752,29.8752,4.8778,4.73,957.594,913.0772,optimal
188,4,44,67.32,0.012,67.32,0.012,67.308,36.319,Discharge,30.989,30.989,2.9497,2.56,881.896,845.577,optimal
189,4,45,68.498,0.036,68.498,0.036,68.462,4.31,Discharge,64.152,64.152,2.3487,0.96,882.214,877.904,optimal
190,4,46,63.194,0.014,63.194,0.014,63.18,-2.4545,Charge,65.6345,65.6345,1.0803,0.79,860.48,862.9345,optimal
191,4,47,60.404,0.012,60.404,0.012,60.392,-6.3689,Charge,66.7609,66.7609,1.1022,0.91,761.696,768.0649,optimal
192,4,48,52.704,0.0,52.704,0.0,52.704,-15.22,Charge,67.924,67.924,1.6561,1.25,695.052,710.272,optimal
