step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
31,7-Jan-13,15:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.408447265625,2461.136962890625,2461.00146484375,284.34320068359375,284.18341064453125,284.1254577636719,2461.853759765625,2461.49609375,2462.235595703125,2461.883544921875,2484.37060546875,2482.814697265625,2461.27587890625,2459.7236328125,2483.570068359375,2461.337158203125,2460.24267578125,2482.814697265625,2461.27587890625,2459.7236328125,2481.880859375,2459.971923828125,2481.4755859375,2461.27587890625,2459.7236328125,2460.259033203125
32,7-Jan-13,16:00,2460.8935546875,2460.8935546875,2460.8935546875,2461.287109375,2460.896728515625,2460.830078125,284.37548828125,283.9808349609375,283.9689636230469,2460.876220703125,2461.1884765625,2461.041748046875,2461.33935546875,2459.269287109375,2458.451416015625,2458.589599609375,2452.103759765625,2458.476806640625,2458.72412109375,2452.2548828125,2458.45166015625,2458.589599609375,2452.103759765625,2458.6748046875,2452.0615234375,2458.45166015625,2458.589599609375,2452.103759765625,2453.36474609375
33,7-Jan-13,16:30,2462.223388671875,2460.8935546875,2460.8935546875,2462.388671875,2460.62841796875,2460.86767578125,284.0339050292969,283.76507568359375,283.9604187011719,2460.351318359375,2460.858154296875,2460.3076171875,2460.81884765625,2449.314208984375,2448.2314453125,2455.856689453125,2447.21533203125,2447.959716796875,2455.971435546875,2447.07470703125,2448.228515625,2455.856689453125,2447.21533203125,2448.54296875,2446.82177734375,2448.228515625,2455.85693359375,2447.21533203125,2446.45361328125
34,7-Jan-13,17:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.9365234375,2460.340087890625,2460.627197265625,283.9032287597656,283.5212097167969,283.748046875,2459.39111328125,2460.544189453125,2459.128173828125,2460.27880859375,2425.1982421875,2425.42724609375,2453.121826171875,2440.7216796875,2425.935791015625,2453.26953125,2440.07958984375,2425.42724609375,2453.121826171875,2440.7216796875,2425.394287109375,2440.17431640625,2425.42724609375,2453.121826171875,2440.7216796875,2439.621826171875
35,7-Jan-13,17:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.5400390625,2460.067626953125,2460.494384765625,283.5765075683594,283.43048095703125,283.5975036621094,2458.3359375,2460.185546875,2457.824462890625,2459.665771484375,2385.8095703125,2388.443115234375,2450.610595703125,2431.172119140625,2386.571533203125,2450.944091796875,2429.86083984375,2388.443115234375,2450.610595703125,2431.172119140625,2387.7802734375,2430.46630859375,2388.449462890625,2450.610595703125,2431.172119140625,2429.698974609375
36,7-Jan-13,18:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.031982421875,2461.23681640625,2460.06201171875,283.1524658203125,283.0876770019531,283.220458984375,2458.384033203125,2459.640380859375,2456.181640625,2458.779052734375,2333.2548828125,2338.118896484375,2446.811279296875,2416.74267578125,2334.56689453125,2447.402587890625,2414.811767578125,2338.11767578125,2446.811279296875,2416.74267578125,2336.8779296875,2415.455810546875,2338.11767578125,2446.811767578125,2416.74267578125,2414.052001953125
37,7-Jan-13,18:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.7451171875,2459.837158203125,2459.86669921875,282.91802978515625,282.999267578125,283.1987609863281,2455.963623046875,2459.3291015625,2454.865966796875,2458.2470703125,2305.78857421875,2311.383544921875,2443.780029296875,2409.83544921875,2306.934326171875,2444.44921875,2407.52197265625,2311.383544921875,2443.780029296875,2409.83544921875,2309.964599609375,2408.397705078125,2311.383544921875,2443.780029296875,2409.83837890625,2406.822021484375
38,7-Jan-13,19:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.19775390625,2460.024169921875,2461.010498046875,282.5082702636719,283.0863342285156,282.87799072265625,2455.262451171875,2459.28759765625,2454.11083984375,2458.138427734375,2283.8037109375,2290.226806640625,2444.52685546875,2406.047119140625,2284.89453125,2445.597412109375,2403.498779296875,2290.226806640625,2444.531982421875,2406.047119140625,2288.58056640625,2404.612060546875,2290.226806640625,2444.531982421875,2406.047119140625,2403.020263671875
39,7-Jan-13,19:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.215576171875,2460.06201171875,2459.731201171875,282.5281066894531,283.1199645996094,282.9199523925781,2455.241455078125,2459.39111328125,2454.14697265625,2459.627197265625,2283.9326171875,2290.058349609375,2444.845458984375,2405.92333984375,2284.606689453125,2445.912841796875,2403.534423828125,2290.058349609375,2444.845458984375,2405.923583984375,2288.49951171875,2404.318603515625,2290.058349609375,2444.845458984375,2405.923583984375,2402.5625
40,7-Jan-13,20:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.3642578125,2459.9208984375,2459.8427734375,282.6372375488281,283.0328063964844,283.0052185058594,2455.177978515625,2459.382568359375,2454.075927734375,2458.292236328125,2281.243896484375,2287.882568359375,2445.509765625,2404.836669921875,2282.32861328125,2446.594482421875,2402.4345703125,2287.878662109375,2445.509765625,2404.836669921875,2286.189697265625,2403.1484375,2287.878662109375,2445.51318359375,2404.836669921875,2401.2978515625
