Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
282.0,26008.390625,25957.712890625,11990.1103515625,13986.48046875,20006.2421875,32011.498046875,18003.568359375,24005.86328125
282.25,26008.3828125,25957.7109375,11990.1103515625,13986.48046875,20006.3515625,32011.49609375,18003.5546875,24005.84765625
282.5,26008.37890625,25957.7109375,11990.1123046875,13986.478515625,20006.388671875,32011.404296875,18003.5234375,23999.103515625
282.75,25964.22265625,25957.611328125,11971.3642578125,13962.8671875,19975.0078125,31937.9140625,18003.5,23990.6953125
283.0,25964.232421875,25957.61328125,11971.3583984375,13962.873046875,19975.05859375,31937.845703125,18003.439453125,23990.69140625
283.25,26002.951171875,25957.712890625,11990.1044921875,13986.4873046875,20006.390625,32011.248046875,18003.541015625,24005.8671875
283.5,26008.3828125,25957.712890625,11990.1064453125,13986.484375,20006.326171875,32011.22265625,18003.5546875,24005.8515625
283.75,24007.765625,27007.3125,12998.224609375,15005.978515625,17999.953125,32011.57421875,19003.66796875,21005.111328125
284.0,24007.74609375,27007.3203125,12998.2255859375,15005.98046875,18001.6640625,32011.314453125,18993.64453125,21005.177734375
284.25,24007.744140625,27007.3203125,12998.2275390625,15005.978515625,18005.40625,32011.466796875,19003.595703125,21005.087890625
284.5,24007.748046875,27007.318359375,12998.2294921875,15005.9765625,18005.787109375,32011.390625,19003.76171875,20999.669921875
284.75,24007.7421875,27007.318359375,12998.23046875,15005.974609375,18005.9140625,32011.41015625,19003.748046875,20999.2265625
285.0,24007.73828125,27007.318359375,12998.2314453125,15005.9736328125,18005.564453125,31998.75390625,19003.73828125,21005.10546875
