Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
337.0,1000.1109008789062,0.0,4002.43359375,4002.466796875,0.0,5750.326171875,8001.580078125,-4000.974853515625
337.25,998.6275024414062,0.0,3996.173095703125,3995.711181640625,0.0,5747.9326171875,8001.5322265625,-3998.450927734375
337.5,1000.3231811523438,0.0,4002.4306640625,4002.469482421875,0.0,5752.94189453125,8001.58056640625,-4000.97705078125
337.75,1000.3230590820312,0.0,4002.430908203125,4002.46923828125,0.0,5748.35107421875,8001.58154296875,-4000.977294921875
338.0,1000.3230590820312,0.0,4002.43115234375,4002.46875,0.0,5757.57958984375,8001.5810546875,-4000.97705078125
338.25,1000.3228759765625,0.0,4002.431884765625,4002.46826171875,0.0,5753.5595703125,8001.5810546875,-4000.976318359375
338.5,-1000.3538208007812,1000.2749633789062,7001.677734375,3001.653564453125,-1000.308837890625,8748.5869140625,4000.878173828125,-6001.95166015625
338.75,-1000.3226928710938,1000.2752685546875,7001.67236328125,3001.65576171875,-1000.3099365234375,8746.306640625,4000.78857421875,-5999.90283203125
339.0,-1000.3226318359375,1000.2752685546875,7001.67333984375,3001.655517578125,-1000.3179321289062,8752.91015625,4000.790283203125,-5999.78125
339.25,-1000.1109619140625,1000.2752685546875,7001.673828125,3001.6552734375,-1000.3131103515625,8756.873046875,4000.790283203125,-6001.46240234375
339.5,-998.2990112304688,1000.271484375,6990.72265625,2996.5888671875,-998.7478637695312,8745.83203125,4000.768310546875,-5997.6787109375
339.75,-1000.3231201171875,1000.2753295898438,7001.66943359375,3001.6533203125,-1000.3098754882812,8754.3837890625,4000.790771484375,-6001.4658203125
340.0,-1000.3230590820312,1000.2753295898438,7001.67041015625,3001.65673828125,-1000.0958862304688,8751.71875,4000.790771484375,-6001.46533203125
340.25,-1000.3229370117188,1000.2752685546875,7001.6708984375,3001.656494140625,-1000.3148193359375,8755.17578125,4000.79052734375,-6001.46484375
340.5,-2000.599853515625,3000.573974609375,3002.29541015625,4001.583984375,2000.595703125,7755.62353515625,5000.87451171875,-8001.52587890625
340.75,-2000.6455078125,3000.58251953125,3002.298583984375,4001.5830078125,2000.6341552734375,7757.3876953125,5000.98681640625,-8001.951171875
341.0,-2000.64501953125,3000.58251953125,3002.299072265625,4001.583251953125,2000.6435546875,7753.87744140625,5000.98583984375,-7999.70654296875
341.25,-1999.9881591796875,3000.58251953125,3002.299560546875,4001.58349609375,2000.635986328125,7750.05419921875,4998.28857421875,-8001.9501953125
341.5,-1996.59765625,3000.571044921875,2997.604736328125,3994.826904296875,1997.4677734375,7745.6181640625,4998.2646484375,-7996.90234375
341.75,-2000.646484375,3000.582763671875,3002.297119140625,4001.585693359375,2000.634521484375,7756.037109375,5000.986328125,-8001.95458984375
342.0,-2000.6461181640625,3000.582763671875,3002.29736328125,4001.58544921875,2000.63525390625,7748.54541015625,5000.98828125,-8001.95458984375
342.25,-2000.64599609375,3000.582763671875,3002.2978515625,4001.58251953125,2000.1783447265625,7753.537109375,5000.98828125,-8001.95361328125
342.5,3000.864013671875,2000.85205078125,5001.5634765625,4001.90185546875,-1000.1189575195312,6752.40185546875,5000.95703125,-7001.8291015625
342.75,3000.968505859375,2000.8497314453125,5001.56298828125,4001.89697265625,-1000.3206176757812,6756.82568359375,5000.98828125,-7001.7080078125
343.0,3000.96826171875,2000.8497314453125,5001.5634765625,4001.896484375,-1000.3060913085938,6754.2890625,5000.990234375,-7001.7080078125
343.25,3000.9677734375,2000.849609375,5001.56396484375,4001.896240234375,-1000.3081665039062,6755.97021484375,5000.986328125,-6999.74365234375
343.5,3000.9677734375,2000.8497314453125,5001.564453125,4001.89599609375,-1000.29541015625,6754.85791015625,5000.98876953125,-7001.70703125
343.75,2994.89501953125,2000.8419189453125,4993.74365234375,3995.1396484375,-998.7498779296875,6743.28662109375,4998.2626953125,-6997.28955078125
344.0,3000.96923828125,2000.849853515625,5001.560546875,4001.898681640625,-1000.3194580078125,6745.11474609375,5000.98583984375,-7001.7099609375
344.25,3000.96923828125,2000.8497314453125,5001.56103515625,4001.892578125,-1000.3177490234375,6748.52880859375,5000.98828125,-7001.71044921875
344.5,-3000.953125,-3002.166748046875,8001.8603515625,4001.879150390625,6000.50341796875,4751.78173828125,1000.18212890625,2000.48779296875
344.75,-3000.96875,-3002.1767578125,8001.86181640625,4001.882568359375,6001.90478515625,4753.8935546875,1000.19775390625,2000.4881591796875
345.0,-3000.96875,-3002.1767578125,8001.86279296875,4001.878662109375,6001.87060546875,4756.97265625,1000.1979370117188,2000.48828125
345.25,-3000.968505859375,-3002.1767578125,8001.86279296875,4001.879150390625,6001.91015625,4746.58154296875,1000.1983032226562,2000.4884033203125
345.5,-3000.968017578125,-3002.1767578125,8001.86376953125,4001.875732421875,6001.8642578125,4746.97802734375,1000.197021484375,1999.967041015625
345.75,-3000.332763671875,-3002.1767578125,8001.865234375,4001.876953125,6001.9296875,4752.12646484375,999.657470703125,2000.4874267578125
346.0,-2994.895751953125,-3002.1650390625,7989.35302734375,3995.119384765625,5992.44921875,4746.375,1000.1923828125,1999.2257080078125
346.25,-2995.88232421875,-3002.165283203125,7989.349609375,3995.122802734375,5992.45263671875,4749.65625,1000.1925048828125,1999.2266845703125
